2026/03/31 10:49:25:565 [CDevice] CAM_SerialWrite OK
2026/03/31 10:49:30:627 [CDevice] CAM_SerialWrite OK
2026/03/31 10:49:44:194 [CDevice] CAM_SerialWrite OK
2026/03/31 10:49:49:261 [CDevice] CAM_SerialWrite OK
2026/03/31 10:49:59:085 [CDevice] CAM_SerialWrite OK
2026/03/31 10:50:04:134 [CDevice] CAM_SerialWrite OK
2026/03/31 10:50:37:736 [CDevice] CAM_SerialWrite OK
2026/03/31 10:50:42:790 [CDevice] CAM_SerialWrite OK
2026/03/31 10:50:58:700 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:03:723 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:04:671 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:09:681 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:28:751 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:33:771 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:38:163 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:43:182 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:49:562 [CDevice] CAM_SerialWrite OK
2026/03/31 10:51:54:604 [CDevice] CAM_SerialWrite OK
2026/03/31 10:52:07:687 [CDevice] CAM_SerialWrite OK
2026/03/31 10:52:12:707 [CDevice] CAM_SerialWrite OK
2026/03/31 10:52:34:624 [CDevice] CAM_SerialWrite OK
2026/03/31 10:52:39:650 [CDevice] CAM_SerialWrite OK
2026/03/31 10:52:58:660 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:03:678 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:22:761 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:27:780 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:34:586 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:39:600 [CDevice] CAM_SerialWrite OK
2026/03/31 10:53:58:630 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:02:009 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:03:680 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:07:016 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:37:661 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:42:678 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:46:894 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:51:922 [CDevice] CAM_SerialWrite OK
2026/03/31 10:54:58:720 [CDevice] CAM_SerialWrite OK
2026/03/31 10:55:03:760 [CDevice] CAM_SerialWrite OK
2026/03/31 10:55:05:062 [CDevice] CAM_SerialWrite OK
2026/03/31 10:55:10:108 [CDevice] CAM_SerialWrite OK
2026/03/31 10:56:10:758 [CDevice] CAM_SerialWrite OK
2026/03/31 10:56:15:762 [CDevice] CAM_SerialWrite OK
2026/03/31 10:56:49:587 [CDevice] CAM_SerialWrite OK
2026/03/31 10:56:54:620 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:16:984 [CDevice] CAM_SerialWrite OK
